model_horizon_days,rebalance_every_days,base_policy,test_year,rebalance_date,holdings,base_unlevered_gross_return,raw_universe_return,realized_return_ic,model_target_ic,risk_state,regime_is_confident,top_n,buffer_rank,covariance_lookback,risk_anchor,signal_blend,base_effective_n,base_max_weight,base_top3_weight_share,weighted_score_z,weight_score_correlation,covariance_observations,avg_pairwise_correlation,max_pairwise_correlation,ex_ante_annualized_volatility,optimizer_fallback,optimizer_reason
20,10,signal_shrinkage_max_diversification_blend_0.00,2026,2026-01-02,"ALAB,BE,CORZ,IONQ,IREN,NVTS,RGTI,RIVN,TTMI,USAR",0.14133438318016275,0.04592265680505814,0.22054039674752626,0.018092089236777253,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,6.859568738954324,0.18,0.511609452619455,2.730045425488099,-0.2023826079894783,60,0.36715879754896863,0.757102220971529,0.5917883879256889,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2026,2026-01-16,"ALAB,CIFR,CLSK,ECHO,IONQ,MARA,OKLO,QBTS,RGTI,SMR",-0.1772872057888425,-0.009903833912982694,-0.28051387571717,-0.24197931695478764,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,6.787316133918267,0.1799999999999999,0.5084575699511689,2.65684268290336,-0.10658462592047008,60,0.4796820784764086,0.8775325304798374,0.6056029466957211,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2026,2026-02-02,"AMKR,AU,CIFR,CLS,HUT,INTC,MP,OKLO,RIOT,WULF",0.020575135998297654,0.003258543217893794,-0.17895336440321932,-0.25019486878882913,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,6.854636286300099,0.18,0.5399999999999998,2.2222905949703944,-0.5787267937095175,60,0.3828982483712396,0.7479667358533951,0.47627708297917026,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2026,2026-02-17,"CDE,CLS,CORZ,DDOG,EL,NET,PINS,RIVN,RVMD,SPOT",0.004436845295544046,0.006937345951593162,-0.07442603463526325,-0.03729178564215712,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.721667556336952,0.17210405829897787,0.4361652480140962,2.0366711773765784,0.37598228289119046,60,0.07918178210445502,0.27942308340807365,0.2610727710906155,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2026,2026-03-03,"APP,AXON,COIN,HUBS,POET,RBRK,RGTI,RIVN,SPOT,XYZ",-0.025423149705576867,-0.015694294712545805,0.059049503032388345,-0.060192915660922656,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.460457861145319,0.16757252230247832,0.4746720224294768,2.0405540716879695,-0.5934879024570839,60,0.22387921643921563,0.48518692897872534,0.39051451007824867,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2026,2026-03-17,"CIFR,COIN,FICO,FLUT,HL,IONQ,RDW,RGTI,TEAM,W",-0.09057673660906501,-0.02254958857843178,-0.1986154392285275,0.2901212314478354,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,6.4351768931569575,0.18,0.54,2.6178737014773894,0.3269012934254972,60,0.2501110779314135,0.7851828793349107,0.3575725156596702,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2026,2026-03-31,"ALAB,APLD,CIFR,CLSK,CRDO,HL,IREN,MU,RDW,TE",0.35731046981559966,0.07476134006191577,0.5237020628082512,0.3138909195636782,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,6.3942600855346665,0.18000000000000002,0.54,2.7817065781810015,-0.19552121575124143,60,0.4193668223730791,0.7889053052790459,0.6134174987491228,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2026,2026-04-15,"APP,MOD,MP,MU,NVTS,OKLO,RDW,SMR,SMTC,TEM",0.014308775996277502,0.007164375328154752,-0.008991924615117056,0.24371460840588607,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.016251299418393,0.18,0.5398304610102419,2.1762777861367706,-0.17497782013222007,60,0.3474665914702291,0.7662350917810049,0.4873302798319442,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2026,2026-04-29,"FICO,IREN,LYB,MP,NET,NXT,OKLO,TE,TEAM,TEM",0.08615401276085624,0.043709481522160115,0.2388898515594062,0.35280803523214094,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.051607169221079,0.17999999999999988,0.5399999999999986,2.3355033662479077,0.07767334740847137,60,0.13611619387165239,0.6859861638146025,0.2874657806821935,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2026,2026-05-13,"ALB,ENPH,FIX,FTAI,MP,RDDT,RGTI,TE,TER,ZTS",0.22478701597555042,0.04661327358101235,0.23534777622623007,0.04743792799830555,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,6.951909321364308,0.18000000000000005,0.5195157520695709,2.0524734612126845,0.35543556017398376,60,0.2394132731002674,0.524346183170343,0.36867753094580874,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2026,2026-05-28,"ANET,FORM,FTAI,HIMS,KTOS,NET,NXPI,SHOP,TER,W",-0.0199692803742776,-0.007783458915812064,-0.22918170722935896,-0.1991334859883724,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.54827620468463,0.18,0.45830702291170217,2.209506950159872,-0.2710816797430612,60,0.14690990075670682,0.43417427355572163,0.35185715944356233,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.25,2021,2021-01-04,"AXTI,CVNA,EQT,NET,PLTR,QXO,SITM,STRL,THC,WDC",0.19626852063082245,0.07030973856078798,0.25833680457444064,0.22737856291916733,risk_off,True,10,15,60,shrinkage_max_diversification,0.25,9.320608966013268,0.14441869160190557,0.4042316451809342,3.0,,60,0.0747370259332639,0.2750610385754208,0.28381933412714105,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.25,2021,2021-01-19,"CDE,CVNA,HL,MP,MRNA,NET,PLTR,SNOW,W,WDC",0.072752341744654,-0.010274998055037218,-0.09944960954464188,0.2417731730130608,risk_off,True,10,15,60,shrinkage_max_diversification,0.25,9.194947085194261,0.1523569092094058,0.4244062422032111,2.8692480784733903,-0.19499633749449813,60,0.1489595532220908,0.6808908488875026,0.3824674657406232,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.25,2021,2021-02-02,"CCJ,CDE,CVNA,ENPH,HL,INSM,MP,OXY,PAAS,PLTR",0.07557722193194769,0.058056854757281895,0.32937203498193474,0.17105479895492223,risk_off,True,10,15,60,shrinkage_max_diversification,0.25,9.050638202471495,0.15367234224152454,0.4100400180775505,2.8622353280249,-0.6029546843295781,60,0.1432281114459301,0.7794679591248602,0.3952292379723617,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.25,2021,2021-02-17,"BE,CDE,CELH,CLSK,ENPH,HL,INSM,NTRA,PAAS,RVMD",-0.0725888094305026,-0.017086850018389037,0.045086684235397245,0.01581838817925182,risk_off,True,10,15,60,shrinkage_max_diversification,0.25,8.619776916868503,0.1630667440986778,0.45493793303919494,2.8852912697325275,0.22199097949286553,60,0.17274358280402777,0.802938299091341,0.39149839644652373,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.25,2021,2021-03-03,"AXTI,CDE,CELH,CLSK,HL,MSTR,MXL,ONDS,W,WULF",0.03413278394907239,0.04286819959595054,-0.023320999873354235,-0.3167486979013101,risk_off,True,10,15,60,shrinkage_max_diversification,0.25,9.414464839059415,0.16243770783329728,0.38826952075093335,2.9091215165575344,0.32253939342219223,60,0.13983260347892137,0.6822927219103897,0.48919670317270086,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.25,2021,2021-03-17,"AXTI,BE,CVNA,MSTR,MXL,ONDS,PLTR,RKLB,TWLO,W",-0.09209881398051514,-0.010537424443842812,-0.4245636738510876,-0.25777114827080255,risk_on,True,10,15,60,shrinkage_max_diversification,0.25,8.495848129058974,0.15931724723019397,0.43818119070018785,2.710752251206236,-0.18200799335941809,60,0.21286320434849734,0.4443655916980294,0.4752411267633716,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.25,2021,2021-03-31,"AXTI,BE,CELH,ENPH,HIMS,HUT,MP,MSTR,ONDS,TSLA",-0.02421050261479569,0.03583900671621776,-0.03899371576334937,-0.13678027560331857,risk_on,True,10,15,60,shrinkage_max_diversification,0.25,8.578410340056344,0.16053625941097088,0.47624618412320374,2.963422258171908,-0.4517798548471023,60,0.27818841881106804,0.5347619308669636,0.6340967289509003,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.25,2021,2021-04-15,"AXTI,BE,CELH,CLSK,ENPH,HUT,MARA,MP,MSTR,QXO",-0.0219927087190486,0.008869373278152688,-0.14977533971793963,-0.3550078438848738,risk_on,True,10,15,60,shrinkage_max_diversification,0.25,8.33020191059603,0.16461792844745676,0.4663030425508964,2.8132440854428475,0.02615296972443485,60,0.3344929676878847,0.7186400923036146,0.6800312631040412,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.25,2021,2021-04-29,"BE,CELH,CLSK,ENPH,HIMS,HUT,MSTR,ONDS,QXO,RIOT",-0.2132952138186493,-0.03460121515501072,-0.304001814956624,-0.014429517717168508,risk_on,True,10,15,60,shrinkage_max_diversification,0.25,7.939083820925871,0.16049492278138475,0.4765355405303069,2.966428899711378,-0.3633993778558933,60,0.28437959208487307,0.6777904643034492,0.6102057546329577,False,ok
