model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate
5,5,equal_weight,vol_target_25pct_max_1p25,0.25,1.25,2021,51,0.0851495118053349,0.4116030460678638,0.6543984021875421,-0.2574588717470485,0.3307305404841271,0.0026103917538442,-0.0374512568836774,-0.0374512568836774,0.7371746822569212,37.15360398574882,0.0022918237444204,0.0007371746822569,0.0,0.5929483047625262,0.5,1.0,0.0,0.8823529411764706,0.5686274509803921
5,5,equal_weight,vol_target_25pct_max_1p25,0.25,1.25,2022,51,-0.3241581069806749,-0.9415632911099624,-1.678250758004664,-0.3148120387391593,-1.0296877726752356,-0.0065533717364481,-0.0535004091128171,-0.0535004091128171,0.6129976025917031,30.89507917062183,-0.0104922245122102,0.0006129976025917,0.0,0.5006164483546751,0.5,0.5314295831073723,0.0,1.0,0.3725490196078431
5,5,equal_weight,vol_target_25pct_max_1p25,0.25,1.25,2023,50,0.6523939357019697,1.892499554058924,3.5712139963937277,-0.2824262808664193,2.3099618551806658,0.0108108034315437,0.0351441843403613,0.0351441843403613,0.6536209657501908,32.942496673809615,0.0198040222076016,0.0006536209657501,0.0,0.5293299145583695,0.5,0.6706629377334614,0.0,1.0,0.58
5,5,equal_weight,vol_target_25pct_max_1p25,0.25,1.25,2024,51,0.6250131971030266,1.4891590892300914,2.758432190733417,-0.1713946062155891,3.6466328252877007,0.0109943289623102,0.013602488409276,0.013602488409276,0.6858234719535782,34.56550298646034,0.0180819934067746,0.0006858234719535,0.0,0.5017661880639571,0.5,0.5791514086923025,0.0,1.0,0.5294117647058824
5,5,equal_weight,vol_target_25pct_max_1p25,0.25,1.25,2025,50,0.6286304984802753,1.7197466538950446,2.8442894021054768,-0.1661146997866087,3.7843158931016654,0.0106697829165329,0.0619212864692231,0.0619212864692231,0.6806711043411083,34.30582365879186,0.0183243085702497,0.0006806711043411,0.0,0.5054252184505237,0.5,0.565540180095276,0.0,1.0,0.62
5,5,equal_weight,vol_target_25pct_max_1p25,0.25,1.25,2026,23,0.9530380119489056,2.5115747602009506,7.2633948740113325,-0.0710134451551444,13.420529166931496,0.0140998165373671,-0.0051028978466451,-0.0051028978466451,0.7869565217391304,39.662608695652175,0.0240286265399728,0.0007869565217391,0.0,0.5,0.5,0.5,0.0,1.0,0.6521739130434783
5,5,equal_weight,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,overall,276,0.2829068210511001,0.9376051972671404,1.6272734393669257,-0.5074645065757049,0.557490853813823,0.0059593677283696,0.0028663001197762,0.0028663001197762,0.6676774615769345,33.650944063477496,0.0084070990851679,0.0006676774615769,0.0,0.5128719343883379,0.5,0.65,0.0,1.0,0.5434782608695652
5,5,equal_weight,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,2021,51,-0.0134428386711205,0.096346876608226,0.1374305557481392,-0.250948799491176,-0.053568053317558,0.0005525769730009,-0.0374512568836774,-0.0374512568836774,0.676782525394176,34.10983927986647,-0.0003941044271954,0.0006767825253941,0.0,0.5517718341742909,0.5,0.65,0.0,1.0,0.5686274509803921
5,5,equal_weight,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,2022,51,-0.3210305090112845,-0.9314511410724772,-1.6667340747858228,-0.3148120387391595,-1.0197529621072634,-0.0064682213150799,-0.0535004091128171,-0.0535004091128171,0.6117647058823529,30.832941176470584,-0.0104119327174752,0.0006117647058823,0.0,0.5,0.5,0.5,0.0,1.0,0.3725490196078431
5,5,equal_weight,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,2023,50,0.637274708357543,1.931877607075853,3.668640601557028,-0.265856816202027,2.3970598815614794,0.0105597530242426,0.0351441843403613,0.0351441843403613,0.6290503662688606,31.70413845995057,0.0201006789433046,0.0006290503662688,0.0,0.5110190766900885,0.5,0.65,0.0,1.0,0.58
