policy,policy_label,policy_kind,period,num_rebalances,annualized_net_return,annualized_volatility,net_sharpe,net_sortino,max_drawdown,calmar,expected_shortfall_95_return,worst_rebalance_return,ending_value_100k,maximum_underwater_days,avg_equity_exposure,avg_sleeve_gross_notional,avg_cash_weight,avg_sleeve_turnover,annualized_sleeve_turnover,avg_sleeve_transaction_cost,avg_short_borrow_cost,turnover_bps,budget_override,sleeve_budget
diversified_trend_overlay_20,Risk-state 20% diversified long/short trend overlay,regime_trend_long_short,holdout_2024_2026,62,1.1031661893142872,0.34791586137814995,2.3304067953084298,5.964945127176598,-0.11989386367420851,9.201189748225618,-0.08405761643594029,-0.08827949909750171,622832.8843452702,146,0.5887096774193551,0.037499999999999985,0.37379032258064515,0.05981155878530933,1.5072512813897951,2.9905779392654666e-05,9.404195985483108e-07,5.0,0.05,0.05
diversified_trend_overlay_20,Risk-state 20% diversified long/short trend overlay,regime_trend_long_short,2021,26,-0.18102245762127578,0.31650937488087855,-0.4649019385818768,-0.5540098880405132,-0.3340239010216429,-0.5419446245241789,-0.15367787063734584,-0.2140050855670619,81380.19437751827,331,0.5346153846153846,0.04230769230769231,0.4230769230769231,0.0856720194411099,2.1589348899159693,4.283600972055496e-05,2.104208301744138e-06,5.0,0.05,0.05
diversified_trend_overlay_20,Risk-state 20% diversified long/short trend overlay,regime_trend_long_short,2022,26,-0.18853126806128928,0.2886067876529119,-0.5856955522098828,-0.9053118059145359,-0.26581828518564965,-0.7092486806527155,-0.07883670070863305,-0.08822170559266414,80610.48410697728,362,0.44999999999999996,0.04807692307692309,0.5019230769230769,0.02392830289043704,0.6029932328390134,1.196415144521852e-05,3.27277369162788e-06,5.0,0.05,0.05
diversified_trend_overlay_20,Risk-state 20% diversified long/short trend overlay,regime_trend_long_short,2023,25,1.3137347204994576,0.39292786664749096,2.345365946104654,7.776315518810502,-0.15661666138896957,8.388218142619552,-0.05364845789402152,-0.06599891537126577,229838.18650328965,128,0.486,0.045,0.469,0.053023859335466224,1.3362012552537488,2.6511929667733113e-05,3.114052795391112e-06,5.0,0.05,0.05
diversified_trend_overlay_20,Risk-state 20% diversified long/short trend overlay,regime_trend_long_short,2024,26,0.8058645570324441,0.3866907152506492,1.7224469798245683,4.080800380710568,-0.1110071369664073,7.25957428553727,-0.08658040597002391,-0.08827949909750171,184006.81581582286,146,0.6423076923076922,0.032692307692307694,0.32499999999999996,0.04594462864291324,1.1578046418014136,2.297231432145662e-05,5.656388151520551e-07,5.0,0.05,0.05
diversified_trend_overlay_20,Risk-state 20% diversified long/short trend overlay,regime_trend_long_short,2025,25,1.7105507204788215,0.3146662710446833,3.373311574292095,10.822946088166674,-0.0824495547833708,20.746633805035678,-0.06223309793383648,-0.08244955478337095,268918.4341081751,43,0.594,0.037000000000000005,0.369,0.08945752539305561,2.2543296399050012,4.47287626965278e-05,1.4796138738110224e-06,5.0,0.05,0.05
diversified_trend_overlay_20,Risk-state 20% diversified long/short trend overlay,regime_trend_long_short,2026,11,0.693951140436065,0.34096895682537204,1.7102610679093808,4.196718653909455,-0.11989386367420851,5.788045519341682,-0.08062009902034241,-0.08062009902034241,125868.49824855004,74,0.45,0.05,0.5,0.025210742286094965,0.6353107056095931,1.2605371143047482e-05,6.008235518878418e-07,5.0,0.05,0.05
strategic_gold_10,Strategic 10% gold,strategic_single,overall,139,0.47048434011071993,0.3176592660894411,1.3757563602575764,2.7770981645879558,-0.4505793253017193,1.044176493885226,-0.09546076945145718,-0.18965065833267464,838861.6162711701,860,0.4807553956834534,0.09999999999999999,0.4192446043165468,0.029532374100719426,0.7442158273381295,1.4766187050359712e-05,0.0,5.0,0.1,0.1
strategic_gold_10,Strategic 10% gold,strategic_single,development_2021_2023,77,0.13982843734159722,0.313583130935478,0.5700442431402943,0.9870844992245732,-0.4505793253017193,0.31033034471336335,-0.1093534125149331,-0.18965065833267464,149168.18758276122,860,0.44123376623376637,0.09999999999999996,0.4587662337662338,0.02409090909090909,0.607090909090909,1.2045454545454545e-05,0.0,5.0,0.1,0.1
strategic_gold_10,Strategic 10% gold,strategic_single,holdout_2024_2026,62,1.017643555830897,0.31349127085264944,2.4171991738899634,6.23098575937014,-0.10866015138297469,9.365379514742195,-0.075604315467288,-0.07862957615631576,562359.5954772556,131,0.5298387096774196,0.09999999999999996,0.37016129032258077,0.036290322580645164,0.9145161290322581,1.8145161290322583e-05,0.0,5.0,0.1,0.1
strategic_gold_10,Strategic 10% gold,strategic_single,2021,26,-0.16777627099462433,0.2826996076605032,-0.5025759990455887,-0.5963152973901541,-0.30199025857135386,-0.5555684868390627,-0.13791868105458713,-0.18965065833267464,82738.57448165138,331,0.48115384615384615,0.10000000000000002,0.41884615384615376,0.06096153846153846,1.5362307692307693,3.0480769230769227e-05,0.0,5.0,0.1,0.1
strategic_gold_10,Strategic 10% gold,strategic_single,2022,26,-0.16856775985478756,0.2655397166116094,-0.5681003562692502,-0.8808932185864303,-0.2395290999438896,-0.7037464754565314,-0.07402092852928635,-0.07896265428819131,82657.38888341397,362,0.40499999999999997,0.10000000000000002,0.4949999999999999,0.0,0.0,0.0,0.0,5.0,0.1,0.1
