policy,period,num_rebalances,annualized_net_return,annualized_net_volatility,net_sharpe,net_sortino,max_drawdown,calmar,expected_shortfall_95_return,worst_rebalance_return,ending_value_100k,maximum_underwater_days,avg_exposure,min_exposure,max_exposure,avg_cash_weight,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_controller_transaction_cost,avg_financing_cost,leveraged_period_share,deleveraged_period_share,net_hit_rate,drawdown_budget_floor_ratio,drawdown_budget_cushion_multiplier,cash_turnover_bps,cash_proxy
drawdown_budget_79_m3.25,2026,11,0.5313041394167628,0.2993515045330985,1.5684794340484283,3.36090417980722,-0.12250023685322786,4.337168262403756,-0.08110193710068768,-0.08110193710068768,120442.78648464002,103,0.4383851049792716,0.3240732843131771,0.45,0.5616148950207284,0.7399674186822321,18.64717895079225,0.028492467456810118,0.0007285195354379491,1.1447883244256627e-05,0.0,0.0,1.0,0.6363636363636364,0.79,3.25,5.0,BIL
drawdown_budget_77_m2.75,overall,139,0.3405801195949971,0.22578354097119988,1.414962342415584,2.8498380605527185,-0.2238031745817769,1.5217841312190608,-0.07909725154246414,-0.08865582111264336,503652.25272302795,1032,0.3465632443471133,0.021954830710537453,0.6325000000000001,0.6534367556528867,0.507184615427064,12.78105230876201,0.026647267483719903,0.0005071846154270332,3.651739679473217e-05,0.0,0.0,1.0,0.5755395683453237,0.77,2.75,10.0,BIL
drawdown_budget_77_m2.75,development_2021_2023,77,0.08404392367777147,0.170118499508406,0.5578285936545043,0.9457224174637345,-0.2238031745817769,0.37552605692401436,-0.07228833097671118,-0.08865582111264336,127963.96466755788,1032,0.23400360314099347,0.021954830710537453,0.5914868572911598,0.7659963968590067,0.3097657710517434,7.806097430503934,0.010766445644061848,0.0003097657710517191,4.316954034059582e-05,0.0,0.0,1.0,0.4805194805194805,0.77,2.75,10.0,BIL
drawdown_budget_77_m2.75,confirmation_2024_2026,62,0.7452442873741152,0.27130616176670336,2.2055779901333734,4.780251979051628,-0.12175061754749028,6.12107192871875,-0.07994162776444647,-0.08671267079984867,393589.12802638166,146,0.48635505681277824,0.3389536135090858,0.6325000000000001,0.5136449431872218,0.752366083441575,18.959625302727687,0.039306910103698,0.0007523660834415359,2.8255863681320862e-05,0.0,0.0,1.0,0.6935483870967742,0.77,2.75,10.0,BIL
drawdown_budget_77_m2.75,2021,26,-0.04837319256106498,0.20665753794004418,-0.13925622821322292,-0.18766929796352488,-0.18075900613134233,-0.2676115209768097,-0.08201176055441806,-0.08865582111264336,95013.00849242882,331,0.3923080122341627,0.18660085481278618,0.5914868572911598,0.6076919877658373,0.4866893299061281,12.264571113634428,-0.003944140574739616,0.0004866893299060857,6.271781936094768e-05,0.0,0.0,1.0,0.5,0.77,2.75,10.0,BIL
drawdown_budget_77_m2.75,2022,26,-0.0460296395564479,0.04119552158968741,-1.1227681375507235,-1.2462341370747936,-0.05254152169213311,-0.8760621709085328,-0.020617149310576007,-0.03273333401852415,95254.43277675721,362,0.050706689790876974,0.021954830710537453,0.165290475149878,0.949293310209123,0.0840675118257385,2.1185012980086104,-0.021727454025973796,8.406751182573352e-05,2.0892353031699393e-05,0.0,0.0,1.0,0.34615384615384615,0.77,2.75,10.0,BIL
drawdown_budget_77_m2.75,2023,25,0.4178254822976375,0.20184179975301772,1.8346807775932332,5.173449631171571,-0.13965573422650335,2.991824751141111,-0.03856005431084053,-0.04119306300983791,141390.236917995,157,0.25999580756821833,0.03652048046124158,0.5886709175090624,0.7400041924317817,0.36049145943822836,9.084384777843354,0.04599381163562183,0.00036049145943820276,4.6007604960682184e-05,0.0,0.0,1.0,0.6,0.77,2.75,10.0,BIL
drawdown_budget_77_m2.75,2024,26,0.48408874953833814,0.2872347385283523,1.5200958281649743,3.071258136452915,-0.11158886304750737,4.33814572814712,-0.07883890178746449,-0.08671267079984867,150280.64258580364,146,0.49861829788596207,0.3665314549481699,0.6325000000000001,0.5013817021140379,0.7011829520892682,17.66981039264956,0.027396374877894196,0.000701182952089233,3.383247685890672e-05,0.0,0.0,1.0,0.6153846153846154,0.77,2.75,10.0,BIL
drawdown_budget_77_m2.75,2025,25,1.1757957145234252,0.24376457924333883,3.352236232130278,8.460610348471194,-0.08098677038216906,14.518367740495815,-0.06125193048512048,-0.0809867703821692,216241.28235963808,57,0.4946510231030466,0.44589823981037074,0.6325,0.5053489768969535,0.811964878769355,20.461514944987744,0.05746376637725196,0.0008119648787693068,2.565381217049099e-05,0.0,0.0,1.0,0.8,0.77,2.75,10.0,BIL
drawdown_budget_77_m2.75,2026,11,0.5509826508354079,0.3034945862716625,1.5932121391833256,3.476154981157244,-0.12175061754749039,4.525501898341419,-0.08110193710068768,-0.08110193710068768,121115.97844280837,103,0.43851474543464286,0.3389536135090858,0.45,0.5614852545653571,0.737892586347527,18.59489317595768,0.029630858624549804,0.0007378925863475004,2.098853142254945e-05,0.0,0.0,1.0,0.6363636363636364,0.77,2.75,10.0,BIL
