test_year,rebalance_date,gross_top10_5d_return,net_top10_5d_return,universe_5d_return,net_excess_vs_universe,bottom10_5d_return,long_short_5d_return,spearman_ic,turnover,transaction_cost,top10_holdings
2023,2023-08-23 04:00:00,0.011521073301588403,0.010321073301588404,0.017263320577912473,-0.00694224727632407,0.030394776069372836,-0.018873702767784432,-0.08837652819513228,1.2000000000000002,0.0012000000000000001,"FTNT,ANET,ROKU,NKE,C,GIS,XEL,WFC,MS,GS"
2023,2023-08-30 04:00:00,-0.012533838213911058,-0.013933838213911058,-0.006651712914818076,-0.007282125299092982,-0.0032046039221136995,-0.009329234291797358,-0.19999339507018735,1.4000000000000001,0.0014000000000000002,"FTNT,GIS,C,DIS,PYPL,NET,COIN,PANW,NVDA,LLY"
2023,2023-09-07 04:00:00,0.0072652184313453496,0.006065218431345349,0.012487845925903697,-0.006422627494558348,0.026848405905058003,-0.019583187473712654,0.033712094915962096,1.2000000000000002,0.0012000000000000001,"GIS,JNJ,SHOP,CRWD,NVDA,PANW,ALB,PYPL,UAL,D"
2023,2023-09-14 04:00:00,-0.057629733406561565,-0.05842973340656157,-0.042301837011111204,-0.016127896395450363,-0.05250758044911517,-0.005122152957446398,-0.027815418299550306,0.8,0.0008,"SHOP,DAL,UAL,PANW,CRWD,ALB,RTX,NFLX,NKE,GIS"
2023,2023-09-21 04:00:00,0.0040483632251106195,0.0030483632251106195,-0.0056655721007808045,0.008713935325891424,0.0007982690947270198,0.0032500941303835996,-0.1164379499993023,1.0,0.001,"SHOP,ALB,AVGO,NKE,UAL,NVDA,DAL,COIN,TMO,KLAC"
2023,2023-09-28 04:00:00,-0.011469432544209951,-0.013069432544209952,-0.022290694834789525,0.009221262290579573,-0.020727890728753168,0.009258458184543216,0.016261648206637707,1.6,0.0016,"RTX,NKE,NFLX,ROKU,PEG,LOW,TGT,CRM,UAL,WBD"
2023,2023-10-05 04:00:00,0.006635646549310521,0.005035646549310521,0.024026220085519447,-0.018990573536208925,0.03976688869540855,-0.03313124214609803,-0.1105424490592011,1.6,0.0016,"FCX,PEP,D,MCD,KO,LOW,RTX,SCHW,PLD,HD"
2023,2023-10-12 04:00:00,-0.007100867417348658,-0.008100867417348657,-0.014452003666801227,0.00635113624945257,-0.00538870846816646,-0.0017121589491821973,0.0023683884154057206,1.0,0.001,"MDLZ,MCD,KHC,PEP,NET,LOW,DAL,UAL,D,SCHW"
2023,2023-10-19 04:00:00,-0.023011513562157433,-0.024411513562157434,-0.027263880000487194,0.00285236643832976,-0.031689513790135945,0.008678000227978513,0.19728707559549882,1.4000000000000001,0.0014000000000000002,"NEE,NET,LOW,D,WBD,RCL,ABNB,BKNG,PLD,TMO"
2023,2023-10-26 04:00:00,0.04477074799197508,0.04337074799197508,0.04878483473678889,-0.005414086744813813,0.08758063353946247,-0.04280988554748739,0.02667500808960773,1.4000000000000001,0.0014000000000000002,"ZTS,TMO,DAL,DHR,NET,ORCL,COIN,RCL,SPOT,PYPL"
2023,2023-11-02 04:00:00,0.009699123231566572,0.008099123231566571,-0.0005843687124443735,0.008683491944010944,0.0232376306782989,-0.013538507446732326,0.06956704411304415,1.6,0.0016,"WBD,ALB,ANET,ABNB,UAL,NET,AMD,MDB,SPOT,BMY"
2023,2023-11-09 05:00:00,0.0707771392923694,0.0697771392923694,0.04012683401181296,0.029650305280556434,0.0409865341919074,0.029790605100461998,0.23398872295078604,1.0,0.001,"SHOP,WBD,ROKU,CVX,NET,ANET,USB,UAL,NFLX,AMD"
2023,2023-11-16 05:00:00,0.0370470762237306,0.0362470762237306,0.016083370367762754,0.020163705855967846,0.015157421038080737,0.021889655185649864,0.06434172002883418,0.8,0.0008,"WBD,SHOP,NET,ROKU,TGT,CVX,MDB,FTNT,ANET,SLB"
