rank_by_market_cap,ticker,yahoo_symbol,company_name,sector,industry,market_cap,currency,source,fetch_error,snapshot_date
102,INTU,INTU,Intuit Inc.,Technology,Software - Application,74429419369.53735,USD,yfinance,,2026-07-08
103,AEP,AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,73943870527.84644,USD,yfinance,,2026-07-08
104,EOG,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,73284357492.15607,USD,yfinance,,2026-07-08
105,SLB,SLB,SLB Limited,Energy,Oil & Gas Equipment & Services,70910585317.48538,USD,yfinance,,2026-07-08
106,HON,HON,Honeywell International Inc.,Industrials,Conglomerates,69815900734.61559,USD,yfinance,,2026-07-08
107,REGN,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,69495698044.06934,USD,yfinance,,2026-07-08
108,APD,APD,"Air Products and Chemicals, Inc",Basic Materials,Specialty Chemicals,66080493570.5,USD,yfinance,,2026-07-08
109,WBD,WBD,"Warner Bros. Discovery, Inc. - ",Communication Services,Entertainment,65561623800.903244,USD,yfinance,,2026-07-08
110,NKE,NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,63515243941.508286,USD,yfinance,,2026-07-08
111,SRE,SRE,DBA Sempra,Utilities,Utilities - Diversified,62317927734.304,USD,yfinance,,2026-07-08
112,D,D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,61442742669.05182,USD,yfinance,,2026-07-08
113,TGT,TGT,Target Corporation,Consumer Defensive,Discount Stores,60143986219.391235,USD,yfinance,,2026-07-08
114,DAL,DAL,"Delta Air Lines, Inc.",Industrials,Airlines,57349036540.09628,USD,yfinance,,2026-07-08
115,PSA,PSA,Public Storage,Real Estate,REIT - Industrial,56320684326.14429,USD,yfinance,,2026-07-08
116,OXY,OXY,Occidental Petroleum Corporatio,Energy,Oil & Gas E&P,53302473778.35921,USD,yfinance,,2026-07-08
117,EA,EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,51376471403.71344,USD,yfinance,,2026-07-08
118,XEL,XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,49704344081.807556,USD,yfinance,,2026-07-08
119,EXC,EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,48377279704.72662,USD,yfinance,,2026-07-08
120,TTWO,TTWO,"Take-Two Interactive Software, ",Communication Services,Electronic Gaming & Multimedia,46672886651.5155,USD,yfinance,,2026-07-08
121,CMG,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,42881798011.45935,USD,yfinance,,2026-07-08
122,COIN,COIN,"Coinbase Global, Inc.",Financial Services,Financial Data & Stock Exchanges,41985107830.56369,USD,yfinance,,2026-07-08
123,ED,ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,41308493283.85391,USD,yfinance,,2026-07-08
124,UAL,UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,40967191464.36328,USD,yfinance,,2026-07-08
125,PEG,PEG,Public Service Enterprise Group,Utilities,Utilities - Regulated Electric,40493598191.04936,USD,yfinance,,2026-07-08
