ticker,security_type,exchange,is_active,yahoo_symbol,company_name,long_name,sector,industry,market_cap,currency,fetch_error,snapshot_date
LMT,COMMON_STOCK,NYSE,True,LMT,Lockheed Martin Corporation,Lockheed Martin Corporation,Industrials,Aerospace & Defense,121728367545.7749,USD,,2026-07-08
LOW,COMMON_STOCK,NYSE,True,LOW,"Lowe's Companies, Inc.","Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,119346497099.1342,USD,,2026-07-08
PH,COMMON_STOCK,NYSE,True,PH,Parker-Hannifin Corporation,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,118411511117.2262,USD,,2026-07-08
SBUX,COMMON_STOCK,NASDAQ,True,SBUX,Starbucks Corporation,Starbucks Corporation,Consumer Cyclical,Restaurants,118380642130.27954,USD,,2026-07-08
BMY,COMMON_STOCK,NYSE,True,BMY,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,117500781421.95206,USD,,2026-07-08
FTNT,COMMON_STOCK,NASDAQ,True,FTNT,"Fortinet, Inc.","Fortinet, Inc.",Technology,Software - Infrastructure,114813334272.514,USD,,2026-07-08
NOW,COMMON_STOCK,NYSE,True,NOW,"ServiceNow, Inc.","ServiceNow, Inc.",Technology,Software - Application,111154374981.0791,USD,,2026-07-08
SO,COMMON_STOCK,NYSE,True,SO,Southern Company (The),The Southern Company,Utilities,Utilities - Regulated Electric,108649276729.01506,USD,,2026-07-08
TT,COMMON_STOCK,NYSE,True,TT,Trane Technologies plc,Trane Technologies plc,Industrials,Building Products & Equipment,104402293121.23178,USD,,2026-07-08
CDNS,COMMON_STOCK,NASDAQ,True,CDNS,"Cadence Design Systems, Inc.","Cadence Design Systems, Inc.",Technology,Software - Application,103171732286.6211,USD,,2026-07-08
EQIX,COMMON_STOCK,NASDAQ,True,EQIX,"Equinix, Inc.","Equinix, Inc.",Real Estate,REIT - Specialty,100199274351.17772,USD,,2026-07-08
SPOT,COMMON_STOCK,NYSE,True,SPOT,Spotify Technology S.A.,Spotify Technology S.A.,Communication Services,Internet Content & Information,99770966249.42104,USD,,2026-07-08
